Ref.no.,Sex,bodyL,bodyM,WC,WF,WS,WR,WV,boneM,
551.68,M,1.19,32,0.466,0.067,0.068,0.46,0.21,1.271,0.03971875
527.902,F,1.22,30,0.355,0.055,0.042,0.284,0.198,0.934,0.031133333
551.668,F,1.24,21,0.284,0.045,0.036,0.237,0.145,0.747,0.035571429
530.298,M,1.31,23,0.451,0.066,0.056,0.454,0.216,1.243,0.054043478
551.673,M,1.33,20,0.337,0.05,0.036,0.23,0.188,0.841,0.04205
551.658,M,1.33,38,0.348,0.071,0.054,0.375,0.215,1.063,0.027973684
551.664,F,1.34,41,0.58,0.097,0.082,0.565,0.4,1.724,0.04204878
551.675,F,1.35,37,0.453,0.066,0.046,0.366,0.253,1.184,0.032
551.679,M,1.39,35,0.571,0.081,0.069,0.493,0.23,1.444,0.041257143
550.319,M,1.41,52,0.697,0.127,0.101,0.911,0.473,2.309,0.044403846
551.674,M,1.44,28,0.411,0.044,0.057,0.409,0.339,1.26,0.045
550.324,M,1.48,50,0.655,0.099,0.072,0.646,0.349,1.821,0.03642
530.296,M,1.59,23,0.62,0.093,0.08,0.602,0.341,1.736,0.075478261
55..666,M,1.75,150,1.09,0.147,0.226,1.895,0.815,4.173,0.02782
550.325,M,1.76,90,1.103,0.212,0.206,2.135,0.947,4.603,0.051144444
551.667,M,1.96,175,1.215,0.198,0.243,1.154,0.993,3.803,0.021731429
527.906,M,1.98,161,1.871,0.509,0.407,5.333,2.143,10.263,0.063745342
527.919,F,2.06,,2.842,0.726,0.527,9.211,3.85,17.156,
550.42,M,2.13,,2.344,0.661,0.373,7.443,2.732,13.553,
550.323,F,2.18,136,1.991,0.508,0.402,5.761,2.886,11.548,0.084911765
551.67,M,2.18,193,1.846,0.409,0.355,4.742,2.343,9.695,0.050233161
530.328,F,2.24,167,1.865,0.429,0.385,5.068,2.507,10.254,0.061401198
551.66,M,2.28,182,2.452,0.753,0.563,8.133,3.692,15.593,0.085675824
554.18,F,2.3,241,2.381,0.67,0.445,8.167,2.827,14.49,0.060124481
MSW.11,F,2.41,258,2.451,0.735,0.666,7.645,3.968,15.465,0.05994186
527.911,F,2.45,240,2.456,0.736,0.61,8.009,3.493,15.304,0.063766667
550.32,M,2.48,218,1.917,0.524,0.474,5.843,3.093,11.851,0.054362385
550.328,F,2.49,,2.014,0.591,0.51,6.862,3.129,13.106,
327.926,F,2.54,,2.086,0.595,0.512,7.381,3.107,13.681,
550.327,F,2.63,,2.429,0.723,0.679,8.891,3.92,16.642,
530.297,M,2.63,400,2.806,0.895,0.719,11.028,5.141,20.589,0.0514725
527.925,M,2.7,,2.462,0.818,0.609,9.272,4.279,17.44,
551662,F,2.7,454,2.503,0.77,0.726,9.506,4.145,17.65,0.038876652
527.924,M,2.71,,2.76,0.891,0.799,11.125,4.918,20.493,
530.329,M,2.71,420,3.3,1.827,0.998,12.435,5.81,24.37,0.05802381
527.905,F,2.72,340,2.88,1.301,0.969,14.603,5.156,24.909,0.073261765
551.657,M,2.73,363,2.739,1.091,0.774,12.013,5.998,22.615,0.062300275
529.91,F,2.75,,2.79,0.832,0.684,12.69,4.708,21.704,
530.316,F,2.75,431,3.495,1.432,1.1,22.6,7.4,36.027,0.083589327
551.671,M,2.79,422,3.102,1.342,0.917,11.903,5.947,23.211,0.05500237
530.311,M,2.85,429,3.23,1.457,1.06,15.554,6.42,27.721,0.064617716
530.309,F,2.85,431,3.11,1.052,0.973,12.8,5.393,23.328,0.05412529
551.661,F,2.87,408,3.516,1.725,1.229,20.897,7.754,35.121,0.086080882
530.315,M,2.91,454,3.36,1.625,1.047,15.046,6.858,27.936,0.06153304
551.659,M,2.92,499,3.019,1.297,0.85,13.405,5.58,24.151,0.048398798
551.681,M,2.92,500,3.188,1.446,1.171,14.913,5.919,26.637,0.053274
550.418,M,2.93,,3.169,1.556,0.854,11.857,5.851,23.287,
552.36,M,2.95,335,3.02,1.711,0.991,16.233,5.595,27.55,0.082238806
55.329,M,2.96,,2.979,1.54,1.003,14.988,6.481,26.991,
527.904,M,3,495,3.68,2.075,1.376,16.455,8.277,31.863,0.064369697
527.916,M,3,543,3.214,1.968,1.219,16.676,7.248,30.325,0.055847145
527.907,M,3.07,531,3.361,2.198,1.354,19.656,8.868,35.437,0.066736347
550.326,M,3.07,567,3.559,1.875,1.218,15.407,6.998,29.057,0.051246914
551.663,F,3.07,600,3.652,1.97,1.331,18.915,8.132,34,0.056666667
527.909,F,3.1,,3.74,1.82,1.598,25.987,8.263,41.408,
550.416,M,3.13,,3.6,1.913,1.272,15.95,7.033,29.768,
551.665,M,3.14,600,4.08,2.562,1.81,21.909,9.01,39.371,0.065618333
551.627,M,3.2,835,4.054,3.003,1.852,20.206,10.38,39.495,0.047299401
550.321,F,3.22,504,3.67,1.75,1.18,25.436,8.983,41.019,0.081386905
527.901,M,3.24,454,3.696,2.257,1.493,18.395,9.104,34.945,0.076971366
527.9,F,3.34,,3.981,1.814,1.38,21.663,10.049,38.887,
217.927,F,3.4,681,3.919,1.663,1.458,28.653,9.123,44.816,0.065809104
530.299,F,3.55,1057,4.796,2.4,1.835,36.711,12.648,58.39,0.055241249
550.332,U,,,3.948,1.521,1.059,22.989,7.556,37.073,
